Fecha_Produccion,Turno,Lote_ID,Familia_Preparacion,Producto,Unidades_Producidas,Tiempo_Horneado_Min,Merma_Kg
2026-05-06,Mañana,LOTE-5789,Bizcochos,Torta de chocolate,53,53,1.85
2025-10-04,Mañana,LOTE-1766,Bizcochos,Torta de chocolate,46,40,0.7
2026-06-18,Tarde,LOTE-8308,Hojaldres,Mil hojas,59,50,1.42
2026-03-12,Mañana,LOTE-7484,Masas Quebradas,Tartaleta de fresa,42,15,1.11
2026-02-05,Tarde,LOTE-4863,Masas Quebradas,Pie de limon,29,29,0.23
2025-06-23,Tarde,LOTE-4904,Bizcochos,Tres leches,47,17,2.26
2025-11-29,Mañana,LOTE-7621,Hojaldres,Croissant,54,30,1.71
2026-04-14,Tarde,LOTE-2061,Bizcochos,Tres leches,11,22,2.03
2026-05-21,Tarde,LOTE-1142,Hojaldres,Empanada dulce,43,32,2.01
2025-10-28,Tarde,LOTE-3096,Bizcochos,Red velvet,29,35,0.83
2026-02-20,Tarde,LOTE-4684,Hojaldres,Croissant,33,34,2.02
2026-01-12,Tarde,LOTE-8056,Masas Quebradas,Pie de limon,42,37,1.21
2026-01-15,Mañana,LOTE-8247,Bizcochos,Tres leches,24,26,2.7
2026-03-27,Mañana,LOTE-6154,Masas Quebradas,Tartaleta de fresa,52,30,2.88
2025-08-26,Tarde,LOTE-6452,Masas Quebradas,Tartaleta de fresa,11,46,2.58
2025-06-25,Tarde,LOTE-7089,Masas Quebradas,Tartaleta de fresa,20,47,2.62
2026-01-25,Tarde,LOTE-7238,Hojaldres,Croissant,17,50,1.03
2026-04-18,Tarde,LOTE-7496,Masas Quebradas,Pie de limon,39,49,1.53
2026-03-22,Mañana,LOTE-2413,Bizcochos,Red velvet,58,44,1.62
2026-02-21,Mañana,LOTE-6775,Hojaldres,Croissant,33,33,1.93
2026-01-08,Tarde,LOTE-2772,Masas Quebradas,Tartaleta de fresa,41,53,0.97
2025-12-12,Tarde,LOTE-4498,Masas Quebradas,Pie de limon,18,39,2.49
2025-10-13,Tarde,LOTE-7257,Bizcochos,Tres leches,46,33,2.14
2025-10-30,Mañana,LOTE-2916,Bizcochos,Red velvet,24,48,1.93
2025-07-24,Mañana,LOTE-7190,Masas Quebradas,Tartaleta de fresa,53,35,2.87
2026-06-11,Tarde,LOTE-7481,Bizcochos,Tres leches,49,47,0.32
2026-03-07,Tarde,LOTE-7873,Hojaldres,Mil hojas,15,23,1.33
2025-06-28,Tarde,LOTE-7840,Masas Quebradas,Tartaleta de fresa,15,36,2.36
2025-11-16,Mañana,LOTE-4101,Bizcochos,Red velvet,31,16,1.29
2025-08-05,Mañana,LOTE-4394,Bizcochos,Red velvet,27,27,0.67
2026-04-14,Mañana,LOTE-6778,Masas Quebradas,Pie de limon,59,45,2.87
2025-12-28,Tarde,LOTE-8192,Bizcochos,Torta de chocolate,27,32,0.84
2026-03-14,Tarde,LOTE-4802,Bizcochos,Torta de chocolate,15,44,1.17
2025-11-25,Tarde,LOTE-1706,Masas Quebradas,Tartaleta de fresa,16,19,1.52
2026-04-18,Tarde,LOTE-6963,Masas Quebradas,Tartaleta de fresa,59,24,2.19
2026-04-21,Mañana,LOTE-7892,Hojaldres,Empanada dulce,58,55,2.31
2025-08-22,Tarde,LOTE-7788,Masas Quebradas,Tartaleta de fresa,38,27,1.9
2025-07-03,Tarde,LOTE-8326,Masas Quebradas,Pie de limon,19,21,2.38
2025-10-26,Tarde,LOTE-4956,Masas Quebradas,Pie de limon,15,40,0.38
2026-01-01,Tarde,LOTE-6800,Hojaldres,Croissant,10,44,2.79
2026-03-15,Tarde,LOTE-6454,Masas Quebradas,Tartaleta de fresa,30,35,0.67
2026-03-28,Tarde,LOTE-3625,Hojaldres,Croissant,21,23,1.01
2026-03-11,Tarde,LOTE-5002,Masas Quebradas,Pie de limon,50,45,0.46
2025-09-09,Mañana,LOTE-9807,Bizcochos,Red velvet,37,45,2.92
2025-11-17,Tarde,LOTE-8620,Masas Quebradas,Pie de limon,18,39,1.02
2026-03-18,Tarde,LOTE-9683,Hojaldres,Empanada dulce,34,37,2.59
2025-11-13,Mañana,LOTE-2323,Bizcochos,Tres leches,39,44,0.35
2026-05-21,Tarde,LOTE-9895,Bizcochos,Tres leches,51,29,0.38
2026-04-20,Mañana,LOTE-2339,Bizcochos,Red velvet,41,37,0.41
2025-12-16,Tarde,LOTE-5024,Masas Quebradas,Pie de limon,25,24,2.93
2026-05-22,Mañana,LOTE-1810,Bizcochos,Red velvet,42,42,1.48
2025-07-14,Tarde,LOTE-1021,Masas Quebradas,Pie de limon,22,51,0.68
2025-10-01,Tarde,LOTE-5158,Masas Quebradas,Pie de limon,52,21,0.51
2026-01-26,Tarde,LOTE-1126,Bizcochos,Tres leches,16,15,2.92
2025-10-16,Tarde,LOTE-2570,Bizcochos,Red velvet,15,41,0.67
2026-01-18,Tarde,LOTE-7503,Hojaldres,Empanada dulce,44,52,1.53
2025-09-08,Mañana,LOTE-6247,Hojaldres,Croissant,30,54,2.58
2025-06-21,Tarde,LOTE-4400,Masas Quebradas,Pie de limon,35,51,0.98
2025-09-01,Mañana,LOTE-1873,Masas Quebradas,Pie de limon,29,33,0.84
2026-05-31,Mañana,LOTE-1400,Hojaldres,Mil hojas,31,23,1.18
2025-08-27,Tarde,LOTE-3882,Bizcochos,Tres leches,12,53,1.87
2025-07-04,Tarde,LOTE-4970,Bizcochos,Torta de chocolate,21,53,0.54
2025-08-11,Tarde,LOTE-8195,Hojaldres,Croissant,28,35,1.44
2025-10-13,Tarde,LOTE-6584,Bizcochos,Tres leches,35,26,0.45
2025-09-06,Tarde,LOTE-4170,Bizcochos,Tres leches,45,50,2.81
2026-02-11,Mañana,LOTE-7660,Bizcochos,Tres leches,23,38,2.66
2026-04-09,Mañana,LOTE-1864,Hojaldres,Croissant,18,53,0.58
2025-11-29,Tarde,LOTE-6705,Hojaldres,Mil hojas,48,45,2.83
2026-03-18,Tarde,LOTE-6038,Hojaldres,Croissant,60,54,1.27
2025-12-19,Mañana,LOTE-7921,Masas Quebradas,Pie de limon,18,20,2.65
2025-08-03,Mañana,LOTE-1319,Bizcochos,Red velvet,13,55,1.0
2025-12-10,Mañana,LOTE-9775,Bizcochos,Torta de chocolate,13,46,1.31
2025-08-31,Mañana,LOTE-2044,Hojaldres,Mil hojas,57,48,2.09
2026-01-24,Tarde,LOTE-2693,Masas Quebradas,Tartaleta de fresa,18,17,0.27
2026-03-01,Tarde,LOTE-2078,Hojaldres,Empanada dulce,43,49,0.18
2025-08-24,Tarde,LOTE-6989,Bizcochos,Red velvet,19,53,1.95
2025-07-31,Mañana,LOTE-7471,Hojaldres,Croissant,14,21,1.12
2026-05-01,Tarde,LOTE-8327,Bizcochos,Torta de chocolate,50,27,1.9
2025-09-21,Tarde,LOTE-9368,Masas Quebradas,Tartaleta de fresa,27,46,0.6
2026-05-01,Mañana,LOTE-1537,Hojaldres,Croissant,33,39,2.73
2026-02-12,Tarde,LOTE-1689,Hojaldres,Croissant,25,46,0.24
2025-08-28,Mañana,LOTE-5963,Bizcochos,Torta de chocolate,59,31,1.19
2025-07-08,Tarde,LOTE-1139,Masas Quebradas,Pie de limon,14,36,1.86
2026-03-20,Mañana,LOTE-6421,Hojaldres,Croissant,11,25,0.92
2025-10-12,Mañana,LOTE-3583,Hojaldres,Croissant,13,25,0.42
2026-06-19,Mañana,LOTE-5665,Bizcochos,Torta de chocolate,26,37,2.37
2025-10-24,Mañana,LOTE-8601,Bizcochos,Red velvet,56,47,1.06
2025-12-30,Mañana,LOTE-8348,Masas Quebradas,Tartaleta de fresa,53,25,2.77
2026-06-10,Mañana,LOTE-1829,Hojaldres,Croissant,31,32,0.32
2026-03-17,Mañana,LOTE-5999,Masas Quebradas,Tartaleta de fresa,15,51,1.85
2025-08-15,Tarde,LOTE-5101,Bizcochos,Tres leches,47,46,1.56
2026-01-31,Mañana,LOTE-3498,Hojaldres,Empanada dulce,33,42,0.59
2026-01-07,Mañana,LOTE-9730,Hojaldres,Empanada dulce,12,18,1.05
2025-08-15,Tarde,LOTE-2814,Bizcochos,Tres leches,55,55,2.71
2026-01-26,Tarde,LOTE-8477,Hojaldres,Croissant,54,19,2.86
2025-07-08,Tarde,LOTE-7630,Bizcochos,Torta de chocolate,28,28,1.02
2025-08-03,Tarde,LOTE-5275,Bizcochos,Torta de chocolate,45,38,1.23
2025-10-24,Mañana,LOTE-7484,Hojaldres,Mil hojas,17,22,0.76
2026-01-26,Tarde,LOTE-9268,Masas Quebradas,Tartaleta de fresa,58,48,0.23
2026-03-29,Mañana,LOTE-8742,Bizcochos,Tres leches,18,25,1.34
2025-08-04,Tarde,LOTE-7049,Hojaldres,Mil hojas,11,18,2.75
2025-09-09,Tarde,LOTE-2657,Bizcochos,Red velvet,25,50,1.5
2026-05-16,Tarde,LOTE-9567,Masas Quebradas,Pie de limon,20,49,0.12
2026-03-29,Tarde,LOTE-7452,Hojaldres,Mil hojas,32,52,2.96
2026-05-27,Mañana,LOTE-1145,Bizcochos,Red velvet,48,54,0.74
2025-12-16,Tarde,LOTE-8841,Masas Quebradas,Tartaleta de fresa,59,54,2.88
2026-03-08,Mañana,LOTE-9621,Masas Quebradas,Tartaleta de fresa,23,23,1.88
2025-09-20,Tarde,LOTE-8484,Bizcochos,Red velvet,29,45,1.61
2026-01-18,Tarde,LOTE-5450,Hojaldres,Empanada dulce,11,44,0.16
2026-01-24,Mañana,LOTE-6209,Bizcochos,Torta de chocolate,36,33,1.9
2025-11-13,Tarde,LOTE-8332,Hojaldres,Empanada dulce,18,35,1.49
2025-10-04,Mañana,LOTE-6163,Masas Quebradas,Tartaleta de fresa,46,49,1.11
2025-09-08,Mañana,LOTE-9993,Bizcochos,Tres leches,57,31,1.88
2026-02-21,Tarde,LOTE-1025,Bizcochos,Tres leches,44,44,1.71
2025-11-22,Mañana,LOTE-4914,Masas Quebradas,Pie de limon,52,54,1.77
2025-12-10,Tarde,LOTE-4688,Masas Quebradas,Pie de limon,47,24,0.66
2026-04-02,Mañana,LOTE-1369,Bizcochos,Tres leches,18,18,0.2
2026-06-14,Mañana,LOTE-7543,Hojaldres,Mil hojas,57,43,1.93
2025-07-29,Mañana,LOTE-2622,Bizcochos,Torta de chocolate,52,48,1.17
2026-05-05,Tarde,LOTE-6880,Masas Quebradas,Tartaleta de fresa,43,15,1.62
2025-09-26,Mañana,LOTE-1721,Masas Quebradas,Tartaleta de fresa,20,23,2.33
2026-05-20,Tarde,LOTE-9072,Hojaldres,Mil hojas,22,50,1.86
2026-04-01,Mañana,LOTE-1763,Hojaldres,Empanada dulce,56,53,1.18
2026-03-22,Tarde,LOTE-2325,Masas Quebradas,Pie de limon,47,33,2.15
2026-05-03,Mañana,LOTE-6984,Bizcochos,Red velvet,53,46,0.69
2025-09-29,Tarde,LOTE-4994,Hojaldres,Mil hojas,43,52,1.91
2025-10-07,Mañana,LOTE-3387,Bizcochos,Tres leches,41,41,0.95
2026-02-28,Tarde,LOTE-3075,Bizcochos,Tres leches,24,38,0.35
2026-05-25,Tarde,LOTE-8195,Hojaldres,Empanada dulce,52,37,1.56
2026-05-21,Tarde,LOTE-8161,Hojaldres,Croissant,28,49,2.55
2025-09-23,Mañana,LOTE-7877,Bizcochos,Red velvet,56,27,2.23
2025-08-09,Tarde,LOTE-2280,Bizcochos,Torta de chocolate,45,29,1.58
2026-05-25,Tarde,LOTE-9765,Hojaldres,Empanada dulce,13,52,0.6
2026-01-10,Mañana,LOTE-6288,Bizcochos,Torta de chocolate,25,54,2.63
2026-06-14,Tarde,LOTE-3028,Bizcochos,Tres leches,50,21,0.84
2026-01-30,Tarde,LOTE-3900,Masas Quebradas,Pie de limon,27,23,0.89
2025-07-13,Tarde,LOTE-8602,Hojaldres,Mil hojas,39,51,0.45
2025-11-24,Tarde,LOTE-7915,Hojaldres,Croissant,24,16,0.64
2025-08-26,Mañana,LOTE-3628,Bizcochos,Torta de chocolate,26,34,1.4
2026-05-03,Tarde,LOTE-7941,Hojaldres,Croissant,36,47,2.5
2026-03-22,Mañana,LOTE-5220,Masas Quebradas,Tartaleta de fresa,33,34,1.78
2026-03-05,Mañana,LOTE-6768,Masas Quebradas,Pie de limon,19,15,0.31
2025-12-23,Tarde,LOTE-1022,Masas Quebradas,Pie de limon,56,48,1.64
2026-05-28,Tarde,LOTE-9594,Masas Quebradas,Tartaleta de fresa,54,48,1.67
2025-08-09,Mañana,LOTE-3707,Hojaldres,Croissant,47,17,0.14
2026-01-20,Mañana,LOTE-5172,Bizcochos,Red velvet,53,31,1.0
2025-07-13,Tarde,LOTE-7713,Masas Quebradas,Pie de limon,17,17,0.65
2025-08-31,Tarde,LOTE-3724,Bizcochos,Tres leches,41,35,0.28
2026-02-15,Tarde,LOTE-6649,Hojaldres,Croissant,46,36,2.13
2025-09-25,Tarde,LOTE-1651,Bizcochos,Torta de chocolate,46,31,2.61
2025-09-13,Tarde,LOTE-3984,Hojaldres,Croissant,37,35,0.45
2025-10-23,Mañana,LOTE-6280,Bizcochos,Torta de chocolate,28,45,2.17
2025-09-14,Mañana,LOTE-4162,Hojaldres,Mil hojas,41,34,1.87
2026-04-13,Tarde,LOTE-5646,Masas Quebradas,Pie de limon,20,29,1.39
2025-08-21,Mañana,LOTE-5164,Bizcochos,Tres leches,53,33,1.44
2026-01-22,Tarde,LOTE-2114,Masas Quebradas,Tartaleta de fresa,30,20,2.35
2026-06-05,Mañana,LOTE-7578,Masas Quebradas,Pie de limon,39,30,1.43
2025-10-01,Tarde,LOTE-3802,Masas Quebradas,Tartaleta de fresa,27,32,0.41
2026-05-26,Mañana,LOTE-3300,Bizcochos,Tres leches,60,31,2.69
2026-01-18,Mañana,LOTE-9238,Bizcochos,Torta de chocolate,32,53,1.39
2025-12-09,Mañana,LOTE-5796,Masas Quebradas,Pie de limon,36,35,1.03
2026-02-18,Tarde,LOTE-9407,Masas Quebradas,Pie de limon,45,41,2.77
2025-07-28,Mañana,LOTE-2495,Masas Quebradas,Pie de limon,45,36,0.78
2025-11-19,Mañana,LOTE-3796,Bizcochos,Red velvet,24,41,2.56
2026-03-20,Tarde,LOTE-7690,Masas Quebradas,Pie de limon,11,45,2.63
2026-06-08,Mañana,LOTE-6690,Hojaldres,Empanada dulce,60,33,2.24
2026-01-13,Mañana,LOTE-5773,Bizcochos,Torta de chocolate,59,52,2.34
2026-04-11,Mañana,LOTE-1338,Bizcochos,Tres leches,25,52,0.2
2026-03-21,Tarde,LOTE-6028,Hojaldres,Mil hojas,35,43,0.93
2025-07-04,Tarde,LOTE-8355,Hojaldres,Mil hojas,16,18,0.31
2025-09-05,Tarde,LOTE-4458,Bizcochos,Tres leches,37,54,2.77
2025-08-18,Mañana,LOTE-8084,Bizcochos,Tres leches,17,53,1.57
2026-04-13,Mañana,LOTE-6359,Hojaldres,Mil hojas,37,39,2.86
2025-08-25,Tarde,LOTE-9388,Hojaldres,Mil hojas,43,54,2.05
2025-12-08,Mañana,LOTE-4574,Bizcochos,Red velvet,58,45,0.61
2026-04-26,Mañana,LOTE-2880,Bizcochos,Torta de chocolate,18,17,0.97
2026-03-15,Tarde,LOTE-7011,Bizcochos,Torta de chocolate,15,55,1.8
2025-09-10,Tarde,LOTE-5459,Bizcochos,Torta de chocolate,31,31,0.71
2025-11-30,Mañana,LOTE-9581,Bizcochos,Tres leches,16,35,1.43
2026-01-24,Mañana,LOTE-9522,Masas Quebradas,Pie de limon,35,15,2.15
2025-09-23,Mañana,LOTE-7298,Bizcochos,Torta de chocolate,44,29,0.69
2026-05-06,Mañana,LOTE-4094,Masas Quebradas,Tartaleta de fresa,57,42,0.16
2026-01-03,Tarde,LOTE-3714,Hojaldres,Croissant,34,43,1.38
2025-09-04,Mañana,LOTE-4233,Bizcochos,Tres leches,28,50,2.86
2026-06-08,Tarde,LOTE-6961,Hojaldres,Croissant,23,43,1.09
2025-08-28,Mañana,LOTE-8137,Hojaldres,Croissant,51,49,0.43
2026-02-02,Tarde,LOTE-4986,Hojaldres,Empanada dulce,60,25,2.26
2026-04-17,Mañana,LOTE-2355,Masas Quebradas,Tartaleta de fresa,15,21,0.38
2025-11-23,Tarde,LOTE-1877,Masas Quebradas,Pie de limon,45,51,0.8
2026-01-08,Mañana,LOTE-5329,Bizcochos,Tres leches,42,37,2.61
2025-10-13,Mañana,LOTE-8406,Masas Quebradas,Tartaleta de fresa,55,52,1.38
2026-01-25,Mañana,LOTE-9718,Masas Quebradas,Pie de limon,48,42,2.19
2025-11-08,Tarde,LOTE-9414,Bizcochos,Torta de chocolate,35,41,2.5
2026-04-17,Tarde,LOTE-1875,Hojaldres,Empanada dulce,13,18,2.93
2025-11-26,Mañana,LOTE-3890,Masas Quebradas,Pie de limon,26,30,0.67
2025-11-05,Mañana,LOTE-7590,Masas Quebradas,Tartaleta de fresa,20,15,1.13
2025-09-07,Mañana,LOTE-3762,Hojaldres,Mil hojas,27,34,1.71
2026-04-22,Mañana,LOTE-2896,Masas Quebradas,Tartaleta de fresa,23,45,1.32
2026-06-07,Mañana,LOTE-2006,Bizcochos,Tres leches,19,28,0.71
2025-09-25,Mañana,LOTE-1473,Bizcochos,Tres leches,29,37,2.67
2026-05-18,Tarde,LOTE-6429,Bizcochos,Tres leches,24,36,0.2
2026-02-25,Mañana,LOTE-1760,Bizcochos,Tres leches,30,36,1.76
2025-12-12,Tarde,LOTE-1373,Hojaldres,Empanada dulce,51,20,2.47
2025-10-18,Mañana,LOTE-3514,Hojaldres,Mil hojas,11,54,0.62
2025-07-22,Mañana,LOTE-4388,Hojaldres,Croissant,24,15,0.16
2026-05-25,Tarde,LOTE-6079,Hojaldres,Empanada dulce,55,18,1.29
2025-09-22,Tarde,LOTE-9916,Bizcochos,Red velvet,28,26,1.76
2026-06-11,Mañana,LOTE-1546,Hojaldres,Mil hojas,60,54,2.39
2025-11-15,Tarde,LOTE-6281,Hojaldres,Mil hojas,26,32,1.62
2025-09-06,Mañana,LOTE-5697,Hojaldres,Croissant,31,46,0.32
2026-02-01,Mañana,LOTE-7168,Hojaldres,Mil hojas,13,50,1.69
2025-07-06,Mañana,LOTE-6539,Bizcochos,Tres leches,54,36,1.29
2025-10-02,Mañana,LOTE-1177,Hojaldres,Mil hojas,47,44,2.39
2025-10-13,Tarde,LOTE-3170,Bizcochos,Red velvet,48,49,0.46
2026-05-20,Tarde,LOTE-6511,Bizcochos,Red velvet,28,21,1.63
2026-01-19,Mañana,LOTE-1009,Bizcochos,Tres leches,20,31,0.34
2025-11-26,Mañana,LOTE-1562,Bizcochos,Torta de chocolate,45,30,2.98
2025-08-17,Mañana,LOTE-9116,Masas Quebradas,Pie de limon,21,53,1.59
2026-01-18,Tarde,LOTE-2681,Bizcochos,Tres leches,12,28,1.2
2026-01-10,Tarde,LOTE-4415,Hojaldres,Empanada dulce,44,24,1.84
2026-02-24,Mañana,LOTE-9339,Bizcochos,Torta de chocolate,53,50,1.2
2026-04-16,Mañana,LOTE-9233,Masas Quebradas,Pie de limon,22,20,0.85
2025-10-22,Mañana,LOTE-4468,Bizcochos,Red velvet,43,24,1.82
2025-08-09,Mañana,LOTE-1145,Hojaldres,Empanada dulce,48,45,1.57
2025-06-22,Tarde,LOTE-1504,Bizcochos,Tres leches,38,40,1.81
2026-01-12,Mañana,LOTE-9367,Hojaldres,Croissant,43,45,1.51
2025-10-24,Tarde,LOTE-7879,Bizcochos,Tres leches,48,51,1.6
2026-03-02,Tarde,LOTE-7190,Hojaldres,Mil hojas,41,25,2.51
2025-09-16,Tarde,LOTE-4378,Bizcochos,Red velvet,34,19,1.35
2025-06-20,Mañana,LOTE-3323,Hojaldres,Croissant,58,22,1.66
2025-11-22,Mañana,LOTE-7783,Hojaldres,Croissant,52,49,2.79
2026-02-21,Mañana,LOTE-5922,Masas Quebradas,Tartaleta de fresa,17,48,0.48
2025-08-13,Tarde,LOTE-4579,Bizcochos,Tres leches,16,16,1.85
2026-02-16,Tarde,LOTE-5315,Hojaldres,Empanada dulce,28,41,1.92
2026-05-19,Tarde,LOTE-8412,Hojaldres,Empanada dulce,57,37,0.7
2026-06-03,Mañana,LOTE-6083,Hojaldres,Mil hojas,57,31,0.53
2025-08-27,Mañana,LOTE-2589,Bizcochos,Torta de chocolate,29,24,2.27
2025-10-27,Mañana,LOTE-7532,Hojaldres,Empanada dulce,33,38,0.69
2026-06-05,Tarde,LOTE-8558,Bizcochos,Torta de chocolate,47,48,1.38
2026-01-05,Mañana,LOTE-9776,Masas Quebradas,Pie de limon,19,19,0.17
2025-10-08,Mañana,LOTE-4730,Masas Quebradas,Pie de limon,17,21,0.47
2026-05-31,Mañana,LOTE-4591,Hojaldres,Empanada dulce,15,49,2.77
2026-03-15,Tarde,LOTE-6651,Masas Quebradas,Tartaleta de fresa,11,44,1.14
2026-01-14,Tarde,LOTE-9554,Hojaldres,Croissant,10,52,1.08
2025-07-10,Mañana,LOTE-2406,Masas Quebradas,Pie de limon,28,27,1.61
2025-09-11,Mañana,LOTE-1307,Hojaldres,Croissant,54,30,2.3
2025-09-16,Tarde,LOTE-1205,Masas Quebradas,Tartaleta de fresa,12,18,2.11
2025-08-10,Tarde,LOTE-7479,Hojaldres,Croissant,19,52,1.85
2025-08-19,Tarde,LOTE-9457,Masas Quebradas,Pie de limon,43,31,1.83
2025-08-09,Tarde,LOTE-8134,Hojaldres,Mil hojas,60,52,1.48
2025-09-25,Mañana,LOTE-1285,Masas Quebradas,Pie de limon,24,28,0.91
2026-03-26,Tarde,LOTE-4975,Hojaldres,Empanada dulce,22,47,1.35
2026-06-06,Mañana,LOTE-5546,Bizcochos,Torta de chocolate,49,36,2.58
2025-12-24,Tarde,LOTE-9299,Hojaldres,Empanada dulce,39,43,1.81
2026-04-12,Mañana,LOTE-5624,Hojaldres,Mil hojas,44,35,0.59
2025-07-05,Tarde,LOTE-6670,Bizcochos,Torta de chocolate,24,32,2.04
2025-11-18,Mañana,LOTE-4328,Hojaldres,Croissant,59,43,2.44
2025-10-13,Tarde,LOTE-9028,Hojaldres,Empanada dulce,13,42,0.74
2026-06-14,Mañana,LOTE-1925,Masas Quebradas,Pie de limon,19,54,0.87
2026-05-28,Mañana,LOTE-3611,Masas Quebradas,Pie de limon,53,30,1.0
2025-10-10,Tarde,LOTE-8354,Bizcochos,Red velvet,39,41,0.96
2025-08-01,Tarde,LOTE-5178,Masas Quebradas,Pie de limon,59,55,2.42
2026-01-25,Mañana,LOTE-2930,Masas Quebradas,Pie de limon,30,22,1.15
2025-09-14,Mañana,LOTE-9220,Bizcochos,Tres leches,22,53,0.7
2025-10-15,Tarde,LOTE-3862,Masas Quebradas,Pie de limon,56,41,1.21
2026-06-01,Mañana,LOTE-6653,Bizcochos,Torta de chocolate,28,43,2.34
2026-01-10,Mañana,LOTE-5923,Hojaldres,Mil hojas,54,44,1.64
2026-01-06,Mañana,LOTE-6710,Masas Quebradas,Tartaleta de fresa,11,19,0.75
2026-05-22,Mañana,LOTE-2761,Hojaldres,Mil hojas,11,17,2.01
2025-08-01,Tarde,LOTE-2590,Bizcochos,Torta de chocolate,14,15,2.3
2026-05-30,Tarde,LOTE-5638,Hojaldres,Croissant,36,31,2.58
2026-01-13,Tarde,LOTE-1805,Bizcochos,Tres leches,46,30,2.1
2025-06-25,Tarde,LOTE-4239,Masas Quebradas,Tartaleta de fresa,39,53,0.72
2026-04-24,Mañana,LOTE-5804,Hojaldres,Croissant,53,33,2.43
2025-10-29,Mañana,LOTE-9485,Bizcochos,Red velvet,14,18,1.12
2025-06-22,Tarde,LOTE-7997,Hojaldres,Empanada dulce,12,53,0.54
2025-12-07,Mañana,LOTE-3235,Bizcochos,Red velvet,12,53,2.46
2026-03-24,Tarde,LOTE-6643,Masas Quebradas,Pie de limon,60,49,1.44
2026-04-09,Tarde,LOTE-3455,Bizcochos,Tres leches,39,26,0.94
2026-03-24,Tarde,LOTE-5716,Masas Quebradas,Pie de limon,29,25,2.77
2026-04-12,Mañana,LOTE-6403,Masas Quebradas,Pie de limon,37,38,1.42
2025-12-27,Mañana,LOTE-1605,Bizcochos,Torta de chocolate,50,42,2.16
2026-04-04,Mañana,LOTE-1506,Bizcochos,Torta de chocolate,44,54,2.84
2026-06-02,Mañana,LOTE-6466,Hojaldres,Mil hojas,17,37,0.57
2026-06-09,Tarde,LOTE-2784,Masas Quebradas,Tartaleta de fresa,54,38,0.97
2025-11-13,Tarde,LOTE-5681,Hojaldres,Croissant,29,30,2.34
2026-04-18,Mañana,LOTE-5718,Hojaldres,Empanada dulce,58,48,2.39
2026-02-22,Tarde,LOTE-4744,Hojaldres,Croissant,11,19,0.88
2025-08-21,Tarde,LOTE-5059,Hojaldres,Mil hojas,58,39,2.34
2026-04-27,Tarde,LOTE-8121,Bizcochos,Red velvet,38,29,2.36
2025-08-09,Tarde,LOTE-3864,Hojaldres,Empanada dulce,55,42,1.77
2026-01-01,Mañana,LOTE-2712,Hojaldres,Mil hojas,33,45,1.64
2026-03-14,Tarde,LOTE-1537,Masas Quebradas,Tartaleta de fresa,58,23,0.46
