Fecha,Par,Apertura,Maximo,Minimo,Cierre,Volumen
2024-05-13,EUR/USD,1.0401,1.0439,1.0326,1.034,1636139
2024-05-14,EUR/USD,1.034,1.0377,1.0306,1.0352,1405224
2024-05-15,EUR/USD,1.0352,1.038,1.0349,1.0363,1319433
2024-05-16,EUR/USD,1.0363,1.0383,1.0326,1.0363,1510404
2024-05-17,EUR/USD,1.0363,1.0403,1.0331,1.0354,1472142
2024-05-20,EUR/USD,1.0354,1.036,1.0261,1.0295,1146857
2024-05-21,EUR/USD,1.0295,1.0319,1.0259,1.0278,1166341
2024-05-22,EUR/USD,1.0278,1.0299,1.0237,1.0264,1631717
2024-05-23,EUR/USD,1.0264,1.0289,1.0209,1.0231,1158400
2024-05-24,EUR/USD,1.0231,1.0231,1.0194,1.0224,1091435
2024-05-27,EUR/USD,1.0224,1.0276,1.0221,1.0241,1220010
2024-05-28,EUR/USD,1.0241,1.0356,1.0238,1.0318,1519797
2024-05-29,EUR/USD,1.0318,1.0348,1.0308,1.0325,1278584
2024-05-30,EUR/USD,1.0325,1.0365,1.0319,1.0336,1547993
2024-05-31,EUR/USD,1.0336,1.0374,1.0297,1.0333,1159968
2024-06-03,EUR/USD,1.0333,1.0362,1.0244,1.0253,1212455
2024-06-04,EUR/USD,1.0253,1.026,1.0212,1.0252,1007521
2024-06-05,EUR/USD,1.0252,1.0278,1.0238,1.0255,1472068
2024-06-06,EUR/USD,1.0255,1.0381,1.0247,1.0356,1796104
2024-06-07,EUR/USD,1.0356,1.0373,1.0315,1.0348,1116549
2024-06-10,EUR/USD,1.0348,1.0391,1.0321,1.036,1593447
2024-06-11,EUR/USD,1.036,1.0399,1.0338,1.0359,1573887
2024-06-12,EUR/USD,1.0359,1.0397,1.0288,1.031,1847378
2024-06-13,EUR/USD,1.031,1.0376,1.0281,1.0358,1830714
2024-06-14,EUR/USD,1.0358,1.0393,1.0348,1.0389,1037613
2024-06-17,EUR/USD,1.0389,1.0463,1.0347,1.0422,1793028
2024-06-18,EUR/USD,1.0422,1.0457,1.0343,1.0384,1507352
2024-06-19,EUR/USD,1.0384,1.0447,1.0357,1.0442,1730300
2024-06-20,EUR/USD,1.0442,1.048,1.0375,1.0383,1710443
2024-06-21,EUR/USD,1.0383,1.0444,1.0355,1.0408,1664632
2024-06-24,EUR/USD,1.0408,1.0521,1.0405,1.0499,1703113
2024-06-25,EUR/USD,1.0499,1.0524,1.0456,1.0457,1066514
2024-06-26,EUR/USD,1.0457,1.0474,1.0423,1.0434,1278100
2024-06-27,EUR/USD,1.0434,1.044,1.0414,1.0438,1450101
2024-06-28,EUR/USD,1.0438,1.0452,1.0381,1.0417,1692972
2024-07-01,EUR/USD,1.0417,1.045,1.0322,1.0352,1172506
2024-07-02,EUR/USD,1.0352,1.0355,1.0321,1.0355,929252
2024-07-03,EUR/USD,1.0355,1.0369,1.0294,1.0311,1062527
2024-07-04,EUR/USD,1.0311,1.0347,1.0297,1.0331,1412319
2024-07-05,EUR/USD,1.0331,1.0353,1.0277,1.0293,1625621
2024-07-08,EUR/USD,1.0293,1.0395,1.0252,1.0356,1401677
2024-07-09,EUR/USD,1.0356,1.0371,1.0322,1.0324,1238249
2024-07-10,EUR/USD,1.0324,1.0338,1.0275,1.0311,1574162
2024-07-11,EUR/USD,1.0311,1.0375,1.0287,1.0344,1625662
2024-07-12,EUR/USD,1.0344,1.0363,1.0275,1.0293,1459992
2024-07-15,EUR/USD,1.0293,1.0312,1.0263,1.0303,1302480
2024-07-16,EUR/USD,1.0303,1.0375,1.0283,1.0357,1456995
2024-07-17,EUR/USD,1.0357,1.0362,1.0254,1.029,1338201
2024-07-18,EUR/USD,1.029,1.0305,1.0253,1.0298,1301229
2024-07-19,EUR/USD,1.0298,1.0329,1.028,1.0308,1376186
2024-07-22,EUR/USD,1.0308,1.0358,1.0297,1.034,1586023
2024-07-23,EUR/USD,1.034,1.0378,1.0265,1.0289,1674850
2024-07-24,EUR/USD,1.0289,1.0304,1.0198,1.0235,1755920
2024-07-25,EUR/USD,1.0235,1.028,1.0226,1.0256,1005307
2024-07-26,EUR/USD,1.0256,1.0294,1.0231,1.0269,1280363
2024-07-29,EUR/USD,1.0269,1.0279,1.0243,1.0279,831923
2024-07-30,EUR/USD,1.0279,1.032,1.0249,1.0293,1143795
2024-07-31,EUR/USD,1.0293,1.03,1.026,1.0265,1360614
2024-08-01,EUR/USD,1.0265,1.0314,1.0236,1.0275,1789819
2024-08-02,EUR/USD,1.0275,1.0293,1.0237,1.0287,964716
2024-08-05,EUR/USD,1.0287,1.0304,1.025,1.0257,1187062
2024-08-06,EUR/USD,1.0257,1.0337,1.0247,1.0334,1696737
2024-08-07,EUR/USD,1.0334,1.0395,1.0294,1.0353,1224419
2024-08-08,EUR/USD,1.0353,1.0374,1.0297,1.0304,1420158
2024-08-09,EUR/USD,1.0304,1.0356,1.0269,1.0331,1620374
2024-08-12,EUR/USD,1.0331,1.0334,1.0271,1.0291,1397339
2024-08-13,EUR/USD,1.0291,1.0354,1.0281,1.0323,1103255
2024-08-14,EUR/USD,1.0323,1.038,1.0287,1.0371,1322398
2024-08-15,EUR/USD,1.0371,1.0408,1.0319,1.0337,1676437
2024-08-16,EUR/USD,1.0337,1.0385,1.0316,1.0377,1380319
2024-08-19,EUR/USD,1.0377,1.0402,1.0362,1.0394,838564
2024-08-20,EUR/USD,1.0394,1.043,1.0369,1.0428,1492395
2024-08-21,EUR/USD,1.0428,1.0527,1.0421,1.0507,1086967
2024-08-22,EUR/USD,1.0507,1.0531,1.0481,1.0497,1423038
2024-08-23,EUR/USD,1.0497,1.05,1.0425,1.0465,1114913
2024-08-26,EUR/USD,1.0465,1.0498,1.0417,1.0428,1764959
2024-08-27,EUR/USD,1.0428,1.0447,1.0367,1.0394,1275018
2024-08-28,EUR/USD,1.0394,1.0416,1.0377,1.0391,1062231
2024-08-29,EUR/USD,1.0391,1.0423,1.0359,1.0405,1034971
2024-08-30,EUR/USD,1.0405,1.0433,1.04,1.0417,1026250
2024-09-02,EUR/USD,1.0417,1.0474,1.0376,1.0451,1804289
2024-09-03,EUR/USD,1.0451,1.0458,1.0432,1.0452,1459257
2024-09-04,EUR/USD,1.0452,1.052,1.0442,1.0512,1265907
2024-09-05,EUR/USD,1.0512,1.0549,1.0498,1.0501,1201739
2024-09-06,EUR/USD,1.0501,1.0656,1.0494,1.0615,2005009
2024-09-09,EUR/USD,1.0615,1.0658,1.0593,1.0642,1606081
2024-09-10,EUR/USD,1.0642,1.0654,1.0591,1.0606,1364919
2024-09-11,EUR/USD,1.0606,1.0633,1.0525,1.056,1409894
2024-09-12,EUR/USD,1.056,1.0598,1.0542,1.058,1198278
2024-09-13,EUR/USD,1.058,1.0582,1.0561,1.0571,1228513
2024-09-16,EUR/USD,1.0571,1.0608,1.0545,1.0601,910789
2024-09-17,EUR/USD,1.0601,1.0652,1.0571,1.0621,1478450
2024-09-18,EUR/USD,1.0621,1.0649,1.0611,1.0618,1077460
2024-09-19,EUR/USD,1.0618,1.0619,1.0575,1.0582,1421455
2024-09-20,EUR/USD,1.0582,1.0592,1.0517,1.0518,1023839
2024-09-23,EUR/USD,1.0518,1.0528,1.0468,1.0499,1350408
2024-09-24,EUR/USD,1.0499,1.0564,1.0471,1.0535,1422452
2024-09-25,EUR/USD,1.0535,1.0545,1.0515,1.0544,1239185
2024-09-26,EUR/USD,1.0544,1.0549,1.0456,1.0492,1062527
2024-09-27,EUR/USD,1.0492,1.0533,1.0458,1.0499,1420932
2024-09-30,EUR/USD,1.0499,1.0523,1.0474,1.0515,1275270
2024-10-01,EUR/USD,1.0515,1.0543,1.0442,1.0478,1534240
2024-10-02,EUR/USD,1.0478,1.0494,1.0469,1.0484,1189096
2024-10-03,EUR/USD,1.0484,1.0491,1.048,1.0487,1165508
2024-10-04,EUR/USD,1.0487,1.0497,1.0428,1.0439,1574483
2024-10-07,EUR/USD,1.0439,1.0484,1.0437,1.0454,1058089
2024-10-08,EUR/USD,1.0454,1.0513,1.0432,1.0477,1660988
2024-10-09,EUR/USD,1.0477,1.0558,1.0438,1.0523,1569050
2024-10-10,EUR/USD,1.0523,1.0584,1.0521,1.0567,968911
2024-10-11,EUR/USD,1.0567,1.0595,1.0504,1.0509,1053764
2024-10-14,EUR/USD,1.0509,1.0517,1.0451,1.0469,1187512
2024-10-15,EUR/USD,1.0469,1.0503,1.043,1.0491,1579048
2024-10-16,EUR/USD,1.0491,1.055,1.0478,1.0513,1513300
2024-10-17,EUR/USD,1.0513,1.0535,1.0491,1.0534,1416087
2024-10-18,EUR/USD,1.0534,1.07,1.0532,1.0697,1814837
2024-10-21,EUR/USD,1.0697,1.073,1.069,1.0721,1142981
2024-10-22,EUR/USD,1.0721,1.0771,1.0679,1.077,1127332
2024-10-23,EUR/USD,1.077,1.0819,1.0728,1.0811,1273844
2024-10-24,EUR/USD,1.0811,1.0864,1.0811,1.0839,1198765
2024-10-25,EUR/USD,1.0839,1.0857,1.0784,1.0825,1007322
2024-10-28,EUR/USD,1.0825,1.0897,1.0798,1.0858,1214169
2024-10-29,EUR/USD,1.0858,1.0894,1.0787,1.0825,1578979
2024-10-30,EUR/USD,1.0825,1.0839,1.0795,1.0814,1377198
2024-10-31,EUR/USD,1.0814,1.0826,1.0771,1.0793,1626198
2024-11-01,EUR/USD,1.0793,1.0813,1.0772,1.0797,1499378
2024-11-04,EUR/USD,1.0797,1.0923,1.0768,1.0897,1862195
2024-11-05,EUR/USD,1.0897,1.0909,1.0809,1.0815,1386047
2024-11-06,EUR/USD,1.0815,1.0872,1.0814,1.0845,1372057
2024-11-07,EUR/USD,1.0845,1.0863,1.0762,1.0775,1716807
2024-11-08,EUR/USD,1.0775,1.0799,1.0725,1.0755,1037356
2024-11-11,EUR/USD,1.0755,1.0821,1.0746,1.0802,1273017
2024-11-12,EUR/USD,1.0802,1.0817,1.0773,1.0804,1452423
2024-11-13,EUR/USD,1.0804,1.0845,1.0716,1.0758,1486977
2024-11-14,EUR/USD,1.0758,1.0791,1.0723,1.0727,1371194
2024-11-15,EUR/USD,1.0727,1.0762,1.0698,1.0756,1366921
2024-11-18,EUR/USD,1.0756,1.0794,1.0706,1.0725,1141654
2024-11-19,EUR/USD,1.0725,1.0755,1.0688,1.0734,1205836
2024-11-20,EUR/USD,1.0734,1.0775,1.0727,1.0736,1102003
2024-11-21,EUR/USD,1.0736,1.077,1.0678,1.0708,1022371
2024-11-22,EUR/USD,1.0708,1.0818,1.0672,1.08,1201945
2024-11-25,EUR/USD,1.08,1.0828,1.0759,1.0827,1582958
2024-11-26,EUR/USD,1.0827,1.0839,1.071,1.074,1377229
2024-11-27,EUR/USD,1.074,1.0771,1.0718,1.0748,1258639
2024-11-28,EUR/USD,1.0748,1.0775,1.0693,1.0719,1215362
2024-11-29,EUR/USD,1.0719,1.0767,1.0682,1.0756,1765139
2024-12-02,EUR/USD,1.0756,1.0762,1.0697,1.0722,1112367
2024-12-03,EUR/USD,1.0722,1.0757,1.0715,1.0717,1145529
2024-12-04,EUR/USD,1.0717,1.0781,1.0677,1.0738,1816448
2024-12-05,EUR/USD,1.0738,1.0798,1.0709,1.0776,1707179
2024-12-06,EUR/USD,1.0776,1.0783,1.0695,1.0724,1143669
2024-12-09,EUR/USD,1.0724,1.0735,1.07,1.0709,1375884
2024-12-10,EUR/USD,1.0709,1.071,1.0661,1.0689,1199331
2024-12-11,EUR/USD,1.0689,1.0728,1.0644,1.0661,1377867
2024-12-12,EUR/USD,1.0661,1.0742,1.0633,1.0736,1175634
2024-12-13,EUR/USD,1.0736,1.0779,1.0732,1.0754,911357
2024-12-16,EUR/USD,1.0754,1.0766,1.0671,1.07,1634544
2024-12-17,EUR/USD,1.07,1.0763,1.0657,1.0739,1491523
2024-12-18,EUR/USD,1.0739,1.0858,1.0737,1.083,1506148
2024-12-19,EUR/USD,1.083,1.0911,1.0788,1.0875,1784560
2024-12-20,EUR/USD,1.0875,1.0884,1.0791,1.0809,1653225
2024-12-23,EUR/USD,1.0809,1.0809,1.075,1.0788,1012362
2024-12-24,EUR/USD,1.0788,1.0848,1.0754,1.0842,1532436
2024-12-25,EUR/USD,1.0842,1.0881,1.0787,1.0812,1120742
2024-12-26,EUR/USD,1.0812,1.0869,1.078,1.0831,1624437
2024-12-27,EUR/USD,1.0831,1.089,1.0793,1.0865,1587079
2024-12-30,EUR/USD,1.0865,1.0891,1.0807,1.0824,1765743
2024-12-31,EUR/USD,1.0824,1.0853,1.0807,1.0822,897288
2025-01-01,EUR/USD,1.0822,1.0829,1.0653,1.0681,1332717
2025-01-02,EUR/USD,1.0681,1.072,1.0603,1.0638,1346275
2025-01-03,EUR/USD,1.0638,1.0655,1.0594,1.0627,1102621
2025-01-06,EUR/USD,1.0627,1.0643,1.054,1.0574,1259516
2025-01-07,EUR/USD,1.0574,1.0665,1.0555,1.0643,1888091
2025-01-08,EUR/USD,1.0643,1.0645,1.0547,1.0582,1238947
2025-01-09,EUR/USD,1.0582,1.0589,1.0558,1.0563,988558
2025-01-10,EUR/USD,1.0563,1.06,1.054,1.0569,1482372
2025-01-13,EUR/USD,1.0569,1.0633,1.0569,1.063,1266675
2025-01-14,EUR/USD,1.063,1.0655,1.0555,1.0569,1716795
2025-01-15,EUR/USD,1.0569,1.0628,1.0553,1.0618,1001807
2025-01-16,EUR/USD,1.0618,1.0635,1.0601,1.0618,1150499
2025-01-17,EUR/USD,1.0618,1.0631,1.0547,1.0577,1002897
2025-01-20,EUR/USD,1.0577,1.0611,1.056,1.0596,915645
2025-01-21,EUR/USD,1.0596,1.0635,1.0577,1.0605,1584026
2025-01-22,EUR/USD,1.0605,1.0617,1.0569,1.0579,961304
2025-01-23,EUR/USD,1.0579,1.0606,1.0563,1.0582,1225303
2025-01-24,EUR/USD,1.0582,1.0602,1.0556,1.0566,1152703
2025-01-27,EUR/USD,1.0566,1.0599,1.0563,1.0571,1062959
2025-01-28,EUR/USD,1.0571,1.0638,1.0545,1.0599,1786668
2025-01-29,EUR/USD,1.0599,1.0697,1.057,1.0666,1139730
2025-01-30,EUR/USD,1.0666,1.0675,1.0587,1.0613,1552778
2025-01-31,EUR/USD,1.0613,1.0705,1.0593,1.0704,1949766
2025-02-03,EUR/USD,1.0704,1.0715,1.0604,1.062,1573044
2025-02-04,EUR/USD,1.062,1.0645,1.0577,1.0614,1668404
2025-02-05,EUR/USD,1.0614,1.0641,1.0592,1.0639,900874
2025-02-06,EUR/USD,1.0639,1.0672,1.0618,1.065,1190445
2025-02-07,EUR/USD,1.065,1.0676,1.0623,1.0624,1069282
2025-02-10,EUR/USD,1.0624,1.0638,1.0601,1.0615,1339625
2025-02-11,EUR/USD,1.0615,1.0648,1.0578,1.0594,1712363
2025-02-12,EUR/USD,1.0594,1.0599,1.0552,1.0569,1040728
2025-02-13,EUR/USD,1.0569,1.0608,1.0545,1.0605,1421385
2025-02-14,EUR/USD,1.0605,1.0651,1.0582,1.062,1084143
2025-02-17,EUR/USD,1.062,1.0641,1.0565,1.0591,1412191
2025-02-18,EUR/USD,1.0591,1.0658,1.0558,1.0629,1439237
2025-02-19,EUR/USD,1.0629,1.0661,1.0594,1.0642,1682445
2025-02-20,EUR/USD,1.0642,1.0687,1.0611,1.0677,1443911
2025-02-21,EUR/USD,1.0677,1.0739,1.0636,1.0704,1347511
2025-02-24,EUR/USD,1.0704,1.0738,1.0667,1.0668,1021523
2025-02-25,EUR/USD,1.0668,1.0698,1.0636,1.0644,1020099
2025-02-26,EUR/USD,1.0644,1.0688,1.0644,1.0676,1006874
2025-02-27,EUR/USD,1.0676,1.0727,1.0648,1.0702,1165212
2025-02-28,EUR/USD,1.0702,1.0717,1.0663,1.0701,1520183
2025-03-03,EUR/USD,1.0701,1.071,1.0691,1.0706,1130544
2025-03-04,EUR/USD,1.0706,1.08,1.0666,1.0761,1648151
2025-03-05,EUR/USD,1.0761,1.0767,1.0733,1.0735,890113
2025-03-06,EUR/USD,1.0735,1.08,1.0695,1.0759,1808036
2025-03-07,EUR/USD,1.0759,1.0778,1.0735,1.075,1360321
2025-03-10,EUR/USD,1.075,1.0758,1.0736,1.0741,815275
2025-03-11,EUR/USD,1.0741,1.0811,1.072,1.0788,1603583
2025-03-12,EUR/USD,1.0788,1.0861,1.0777,1.0824,1427956
2025-03-13,EUR/USD,1.0824,1.0891,1.0811,1.0859,1023630
2025-03-14,EUR/USD,1.0859,1.0951,1.0846,1.0916,1447561
2025-03-17,EUR/USD,1.0916,1.0945,1.088,1.0916,1284668
2025-03-18,EUR/USD,1.0916,1.0977,1.0893,1.0946,1105704
2025-03-19,EUR/USD,1.0946,1.0983,1.0919,1.0933,1640137
2025-03-20,EUR/USD,1.0933,1.0958,1.0906,1.0947,1496628
2025-03-21,EUR/USD,1.0947,1.0968,1.091,1.0941,1395566
2025-03-24,EUR/USD,1.0941,1.0955,1.0929,1.0945,1092886
2025-03-25,EUR/USD,1.0945,1.1015,1.0927,1.0971,1325641
2025-03-26,EUR/USD,1.0971,1.1013,1.093,1.0936,1501465
2025-03-27,EUR/USD,1.0936,1.1029,1.0928,1.1027,1502529
2025-03-28,EUR/USD,1.1027,1.1058,1.0953,1.0983,1089819
2025-03-31,EUR/USD,1.0983,1.1023,1.0921,1.0929,1474981
2025-04-01,EUR/USD,1.0929,1.0988,1.0906,1.098,1625340
2025-04-02,EUR/USD,1.098,1.104,1.0949,1.1015,1379507
2025-04-03,EUR/USD,1.1015,1.1083,1.101,1.1042,972281
2025-04-04,EUR/USD,1.1042,1.1072,1.1017,1.107,1459948
2025-04-07,EUR/USD,1.107,1.1101,1.1058,1.1069,979436
2025-04-08,EUR/USD,1.1069,1.1083,1.0987,1.103,1223593
2025-04-09,EUR/USD,1.103,1.1074,1.1008,1.1033,1035918
2025-04-10,EUR/USD,1.1033,1.1076,1.0968,1.1003,1338576
2025-04-11,EUR/USD,1.1003,1.1088,1.0979,1.1046,1724912
2025-04-14,EUR/USD,1.1046,1.1067,1.1038,1.104,1146109
2025-04-15,EUR/USD,1.104,1.1078,1.0975,1.1003,1204537
2025-04-16,EUR/USD,1.1003,1.104,1.0947,1.0989,1745865
2025-04-17,EUR/USD,1.0989,1.1021,1.0963,1.1007,1555354
2025-04-18,EUR/USD,1.1007,1.1044,1.0946,1.0982,1762619
2025-04-21,EUR/USD,1.0982,1.0984,1.0908,1.0946,1136827
2025-04-22,EUR/USD,1.0946,1.0983,1.0936,1.0957,1178214
2025-04-23,EUR/USD,1.0957,1.0978,1.0948,1.0968,1468439
2025-04-24,EUR/USD,1.0968,1.0973,1.0919,1.0945,1451043
2025-04-25,EUR/USD,1.0945,1.0949,1.0907,1.0925,853578
2025-04-28,EUR/USD,1.0925,1.0965,1.0888,1.0935,1000601
2025-04-29,EUR/USD,1.0935,1.095,1.0832,1.0872,1503301
2025-04-30,EUR/USD,1.0872,1.0903,1.0795,1.081,1864228
2025-05-01,EUR/USD,1.081,1.0813,1.0769,1.0779,1231956
2025-05-02,EUR/USD,1.0779,1.0793,1.0736,1.077,1260063
2025-05-05,EUR/USD,1.077,1.0807,1.0758,1.0783,935156
2025-05-06,EUR/USD,1.0783,1.0881,1.0748,1.0847,1770937
2025-05-07,EUR/USD,1.0847,1.0898,1.0829,1.0884,1575402
2025-05-08,EUR/USD,1.0884,1.0912,1.0848,1.0877,1197993
2025-05-09,EUR/USD,1.0877,1.0916,1.0872,1.0877,1398562
2025-05-12,EUR/USD,1.0877,1.0903,1.0806,1.0833,1851473
2025-05-13,EUR/USD,1.0833,1.0843,1.0813,1.0832,937903
2025-05-14,EUR/USD,1.0832,1.0833,1.0794,1.082,1196312
2025-05-15,EUR/USD,1.082,1.0871,1.0812,1.0834,1109884
2025-05-16,EUR/USD,1.0834,1.0835,1.0766,1.0798,1547928
2025-05-19,EUR/USD,1.0798,1.0858,1.076,1.082,1519319
2025-05-20,EUR/USD,1.082,1.091,1.0811,1.0887,1573929
2025-05-21,EUR/USD,1.0887,1.0927,1.0878,1.0882,1448328
2025-05-22,EUR/USD,1.0882,1.0934,1.0881,1.0899,1167368
2025-05-23,EUR/USD,1.0899,1.0973,1.0871,1.0929,1831813
2025-05-26,EUR/USD,1.0929,1.0945,1.0885,1.0912,1296810
2025-05-27,EUR/USD,1.0912,1.0955,1.0888,1.0922,1039350
2025-05-28,EUR/USD,1.0922,1.094,1.0911,1.0922,1262035
2025-05-29,EUR/USD,1.0922,1.0947,1.0905,1.0926,1403773
2025-05-30,EUR/USD,1.0926,1.0954,1.0867,1.0893,1244861
2025-06-02,EUR/USD,1.0893,1.0932,1.0871,1.0894,1553109
